id,time_stamp,reg_number,alt,dir,speed,lat,lng,dep_iata,flight_icao,status
1,10/30/2025 16:41:19,N596NN,1092,71.7,442,39.894017,-75.125142,PHL,AAL5105,en-route
2,10/30/2025 16:41:19,N569NN,9164,303.1,753,41.639277,-87.475995,CLT,JIA5241,en-route
3,10/30/2025 16:41:19,N820SY,12135,67.1,919,38.612729,-102.291,PHX,SCX685,en-route
4,10/30/2025 16:41:19,N658AW,11069,59.2,909,36.058718,-105.618837,PHX,AAL1670,en-route
